District,Region,Soil_Moisture_RootZone_mean,Soil_Moisture_Surface_mean,Rainfall_3day_mean,Rainfall_3day_max,Rainfall_7day_mean,Rainfall_7day_max,Temp_Avg_C,Temp_Max_C,Temp_Min_C,Elevation_m,Slope_degrees
Chamba,Himachal Pradesh,0.690036776295051,0.6837974151518336,10.700677524429976,29.001749500893165,24.968190396133238,62.536706945466015,11.417406745823264,16.757712514447828,6.893953977093622,3928.0,35.42
Chamoli,Uttarakhand,0.5726941263003047,0.6009467269097405,14.368415316951612,25.648222128822106,33.52630240622045,56.78270358306191,6.8196395923085005,12.435452348429127,2.1956656509404224,3745.0,42.59
Chikkamagaluru,Karnataka Western Ghats,0.7015635179153095,0.6927372071030786,11.48738222829324,31.663365556372813,26.803840145704175,68.94608805295788,22.560960386676474,27.985771776820428,18.40280340443417,1057.0,1.41
Darjeeling,Darjeeling-Kalimpong,0.6388347168225281,0.6313911947042135,29.471782336870852,42.317230219607005,68.76749211936534,90.93212356835137,18.386520962488177,23.45172743511611,14.652776084900704,679.0,22.93
Doda,Jammu & Kashmir,0.6662004833455921,0.6390217505516443,10.006327624251343,12.217693600924667,23.348097789919777,27.951120100872107,13.416470526426394,19.22885888410213,8.414044341704319,1373.0,39.57
East Khasi Hills,Meghalaya,0.8684522433539981,0.8674088473258379,25.09064200903644,40.13542502889564,58.54483135441843,90.98996847746137,17.93873804770411,22.80858568876747,14.128250499106862,1432.0,14.92
East Sikkim,Sikkim,0.7140947777661028,0.7154733634548702,28.013137543343493,33.77619312808658,65.36398760113481,76.41764736786801,7.473437007460334,12.94231690658821,3.53437427760849,1606.0,20.82
Idukki,Kerala Western Ghats,0.7668635074077965,0.7519628034044342,19.900010857763323,39.52998003572558,46.43330029304286,85.99269938005675,22.91000315225386,27.472726699590208,19.627714615950403,846.0,13.66
Kalimpong,Darjeeling-Kalimpong,0.6486539876011348,0.6514815593149101,30.485358831564607,30.485358831564607,71.13250394031735,71.13250394031735,18.730979300199643,23.510862666806766,15.189943259430493,826.0,28.19
Kangra,Himachal Pradesh,0.5623873069244509,0.5467952085741306,13.093182725648814,15.419255017337365,30.550759693180627,34.887206052327414,20.039126825680363,25.606971734790374,15.611852474519281,418.0,1.89
Kinnaur,Himachal Pradesh,0.6295912577492907,0.638814752548072,5.617675495671723,9.624310181779991,13.107848384671964,21.52002942103605,1.90994431018178,7.753647157717769,-3.1860523274141013,4283.0,29.09
Kodagu,Karnataka Western Ghats,0.7402458758011978,0.7012041609750972,17.811637771006275,42.37823578858886,41.5600420300515,92.41362509194076,23.856726909740466,28.902453504255543,20.085939897026375,1064.0,17.69
Kozhikode,Kerala Western Ghats,0.7802868551013975,0.7817862771881896,24.123652411474193,31.68870442366291,56.28851809043466,70.92251654933276,26.689232951560363,29.654259745718193,24.466527266995904,40.0,2.57
Kullu,Himachal Pradesh,0.6625701376484187,0.6791762109908585,8.420845179303196,14.764689502994633,19.648039898527447,31.759273930860573,-0.49859724703162756,4.410098770620994,-5.146709046968583,4670.0,40.66
Lahaul-Spiti,Himachal Pradesh,0.5312188714931175,0.5425323106020805,6.606435588946101,11.917732478722293,15.413666859304396,26.57980876326572,-6.5329305453399185,-0.31360407691499426,-11.98139960071451,5574.0,26.15
Malappuram,Kerala Western Ghats,0.7486109067983608,0.7019081643375014,18.93240643059786,32.95146369654301,44.17561374382685,71.15313964484608,25.281029736261427,29.80802984133656,21.950068298833664,88.0,7.48
Mandi,Himachal Pradesh,0.5970473888830514,0.5744058001471052,11.639902674162023,22.950055689818218,27.159772906378063,48.284144163076604,18.89373857307975,24.686964379531364,14.215768624566564,1142.0,24.19
North Sikkim,Sikkim,0.6813134391089629,0.6797803929809815,22.29335557423558,26.960990858463806,52.01782967321634,61.1177955237995,-0.017970999264474097,6.5453588315645685,-5.185515393506357,4517.0,29.17
Palakkad,Kerala Western Ghats,0.6595965115057266,0.6099127876431648,11.93361195754965,20.88697173479038,27.845088263108106,45.93985184406849,24.55107071556163,30.19408111799937,20.31188294630661,88.0,0.87
Poonch,Jammu & Kashmir,0.5630219607019018,0.5499642744562362,8.508385520647275,12.046121676999066,19.852889040664078,27.016963328780072,11.372348429126825,17.629570242723545,5.899575496479984,2328.0,26.13
Raigad,Maharashtra Western Ghats,0.750956183671325,0.6473090259535568,28.502311915519616,53.185927288010944,66.50539446954573,114.78175790690347,26.588102343175372,32.25286434800883,22.390399285489124,101.0,19.94
Rajouri,Jammu & Kashmir,0.6477934222969424,0.6126121676999053,10.782245805751113,17.65894294420511,25.15857319650216,39.35282441945991,14.917050541136913,21.396367552800253,9.308590942523905,810.0,12.33
Ramban,Jammu & Kashmir,0.6468614059052222,0.60453399180414,11.11197593779553,16.04319218241042,25.927943854856228,35.82657560155512,18.894539245560573,25.071781023431754,13.619080592623725,2248.0,16.9
Ratnagiri,Maharashtra Western Ghats,0.6751423767994116,0.5720142902175055,24.775129767783962,49.624225070925704,57.80863612482924,107.198741199958,24.78945360933067,31.35714510875276,19.78325207523379,236.0,8.51
Rudraprayag,Uttarakhand,0.5726941263003047,0.6009467269097405,11.495678785331512,15.570072501838812,26.82325049910685,34.195489124724176,6.8196395923085005,12.435452348429127,2.1956656509404224,2284.0,41.46
Satara,Maharashtra Western Ghats,0.672109908584638,0.5372228643480088,7.4262025848481725,15.198707575916796,17.327806031312385,33.34364610696648,24.845208574130503,31.876630240622045,18.9811957549648,714.0,6.15
Shimla,Himachal Pradesh,0.7249500893138594,0.7047084165178102,8.38731123253126,16.654190396133234,19.570392875906272,34.526924450982456,14.714570768099192,20.866140590522225,9.819939056425344,2389.0,19.47
South Sikkim,Sikkim,0.7354365871598192,0.7344152569086897,20.654084270253275,20.654084270253275,48.192863297257574,48.192863297257574,5.352504991068614,10.583318272564885,1.4469538720184931,950.0,20.16
Tehri Garhwal,Uttarakhand,0.6752337921613953,0.6728275717137754,10.319262372596423,14.105229589156272,24.078278869391596,31.35937795523797,13.54679941157928,19.22174109488284,9.034427865924135,923.0,19.47
Thrissur,Kerala Western Ghats,0.7656498896711148,0.7221382788693916,21.074623655913975,37.93939161500473,49.17411964554656,79.30273720710308,26.96602290637806,30.802582746663862,24.046816223599873,29.0,1.54
Upper Siang,Arunachal Pradesh,0.744694756751077,0.765872648943995,21.335059104759882,31.536194178837828,49.781804577773094,70.33914784070609,11.315602605863193,17.161826205737103,6.7950120836398025,2864.0,26.57
Uttarkashi,Uttarakhand,0.6479573394977408,0.7049584953241568,10.997089227888857,18.90899653252076,25.65987486507397,40.213615635179146,0.48758747504465694,5.874920668277819,-4.096924450982453,1768.0,24.04
Wayanad,Kerala Western Ghats,0.7029799306504151,0.6574561311337607,12.657021120100872,16.202990438163287,29.533039298098146,37.14767994115793,23.348248397604287,28.894561311337604,19.05089524009667,788.0,9.35
West Siang,Arunachal Pradesh,0.7710034674792478,0.7785016286644951,22.391442331266852,36.343560996112195,52.24669877295601,79.97960806976991,12.330453924556057,17.289876011348113,8.57961332352632,615.0,26.31
